,행정동,버스_정류장,지하철_역,집객시설,생활인구,쓰레기통
0,중곡1동,0.25,0,0.225,0,0.227272727
1,중곡2동,0.428571429,0,0.475,0.101102209,0.409090909
2,중곡3동,0.464285714,0.5,0.416666667,0.05632672,0.090909091
3,중곡4동,0.678571429,0,0.483333333,0.32753241,0
4,능동,0,0.5,0,0.043913145,0.363636364
5,구의1동,0.035714286,0,0.25,0.266586882,0.318181818
6,구의2동,0.428571429,0.625,0.541666667,0.190065931,0.409090909
7,구의3동,0.571428571,0.5,0.716666667,0.434082426,1
8,광장동,1,0.5,0.766666667,0.633978276,0.727272727
9,자양1동,0.25,0,0.491666667,0.320377048,0.318181818
10,자양2동,0.428571429,0.5,0.4,0.226438084,0.136363636
11,자양3동,0.214285714,0.5,0.483333333,0.33721818,0.181818182
12,자양4동,0.142857143,0,0.491666667,0.668858686,0
13,화양동,0.392857143,0.75,1,1,0.272727273
14,군자동,0.5,1,0.733333333,0.317341319,0.272727273
